Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodichthys,dearborni,-73.25,-119.75,5711:239:2,0.24
Lycodichthys,dearborni,-73.25,-120.25,5712:130:1,0.28
Lycodichthys,dearborni,-73.25,-120.75,5712:130:2,0.23
Lycodichthys,dearborni,-73.25,-124.75,5712:134:2,0.21
Lycodichthys,dearborni,-73.25,-126.75,5712:236:2,0.36
Lycodichthys,dearborni,-73.25,-128.25,5712:238:1,0.29
Lycodichthys,dearborni,-73.25,-128.75,5712:238:2,0.3
Lycodichthys,dearborni,-73.25,-129.25,5712:239:1,0.32
Lycodichthys,dearborni,-73.25,-129.75,5712:239:2,0.32
Lycodichthys,dearborni,-73.75,-131.75,5713:131:4,0.33
Lycodichthys,dearborni,-73.75,-132.25,5713:132:3,0.37
Lycodichthys,dearborni,-73.75,-133.75,5713:133:4,0.31
Lycodichthys,dearborni,-73.75,-134.25,5713:134:3,0.24
Lycodichthys,dearborni,-74.25,-135.25,5713:245:1,0.38
Lycodichthys,dearborni,-74.25,-135.75,5713:245:2,0.38
Lycodichthys,dearborni,-74.25,-137.25,5713:247:1,0.22
Lycodichthys,dearborni,-74.75,-137.25,5713:247:3,0.38
Lycodichthys,dearborni,-74.75,-137.75,5713:247:4,0.21
Lycodichthys,dearborni,-74.75,-138.25,5713:248:3,0.36
Lycodichthys,dearborni,-76.75,-152.75,5715:362:4,0.26
Lycodichthys,dearborni,-76.75,-153.75,5715:363:4,0.29
Lycodichthys,dearborni,-76.25,-154.75,5715:364:2,0.26
Lycodichthys,dearborni,-77.25,-151.25,5715:371:1,0.21
Lycodichthys,dearborni,-77.25,-154.75,5715:374:2,0.25
Lycodichthys,dearborni,-76.25,-155.25,5715:465:1,0.24
Lycodichthys,dearborni,-76.25,-155.75,5715:465:2,0.2
Lycodichthys,dearborni,-76.25,-157.25,5715:467:1,0.21
Lycodichthys,dearborni,-76.25,-157.75,5715:467:2,0.23
Lycodichthys,dearborni,-76.25,-158.25,5715:468:1,0.22
Lycodichthys,dearborni,-77.25,-155.25,5715:475:1,0.35
Lycodichthys,dearborni,-76.25,-163.25,5716:363:1,0.33
Lycodichthys,dearborni,-77.25,-162.25,5716:372:1,0.27
Lycodichthys,dearborni,-77.25,-169.25,5716:479:1,0.33
Lycodichthys,dearborni,-72.75,-177.25,5717:227:3,0.34
Lycodichthys,dearborni,-72.75,-177.75,5717:227:4,0.39
Lycodichthys,dearborni,-75.75,-170.75,5717:350:4,0.2
Lycodichthys,dearborni,-75.75,-171.25,5717:351:3,0.22
Lycodichthys,dearborni,-75.75,-171.75,5717:351:4,0.25
Lycodichthys,dearborni,-75.75,-172.25,5717:352:3,0.3
Lycodichthys,dearborni,-73.75,166.25,3716:236:3,0.48
Lycodichthys,dearborni,-73.75,166.75,3716:236:4,0.51
Lycodichthys,dearborni,-73.25,167.75,3716:237:2,0.58
Lycodichthys,dearborni,-73.75,167.25,3716:237:3,0.51
Lycodichthys,dearborni,-74.25,166.25,3716:246:1,0.43
Lycodichthys,dearborni,-74.25,166.75,3716:246:2,0.5
Lycodichthys,dearborni,-74.25,169.25,3716:249:1,0.4
Lycodichthys,dearborni,-75.75,163.25,3716:353:3,0.49
Lycodichthys,dearborni,-75.75,163.75,3716:353:4,0.43
Lycodichthys,dearborni,-75.75,164.25,3716:354:3,0.42
Lycodichthys,dearborni,-75.75,165.25,3716:455:3,0.45
Lycodichthys,dearborni,-75.75,165.75,3716:455:4,0.41
Lycodichthys,dearborni,-75.25,166.75,3716:456:2,0.49
Lycodichthys,dearborni,-75.75,166.25,3716:456:3,0.5
Lycodichthys,dearborni,-75.75,166.75,3716:456:4,0.48
Lycodichthys,dearborni,-75.25,167.25,3716:457:1,0.59
Lycodichthys,dearborni,-75.75,168.25,3716:458:3,0.56
Lycodichthys,dearborni,-76.75,167.75,3716:467:4,0.46
Lycodichthys,dearborni,-76.75,168.25,3716:468:3,0.47
Lycodichthys,dearborni,-76.75,168.75,3716:468:4,0.43
Lycodichthys,dearborni,-76.25,169.25,3716:469:1,0.56
Lycodichthys,dearborni,-76.25,169.75,3716:469:2,0.59
Lycodichthys,dearborni,-76.75,169.25,3716:469:3,0.47
Lycodichthys,dearborni,-76.75,169.75,3716:469:4,0.48
Lycodichthys,dearborni,-72.25,174.75,3717:124:2,0.52
Lycodichthys,dearborni,-72.25,175.25,3717:225:1,0.48
Lycodichthys,dearborni,-72.75,176.75,3717:226:4,0.47
Lycodichthys,dearborni,-72.75,177.25,3717:227:3,0.47
Lycodichthys,dearborni,-72.75,178.75,3717:228:4,0.49
Lycodichthys,dearborni,-72.75,179.25,3717:229:3,0.55
Lycodichthys,dearborni,-72.75,179.75,3717:229:4,0.49
Lycodichthys,dearborni,-73.25,178.25,3717:238:1,0.55
Lycodichthys,dearborni,-73.25,178.75,3717:238:2,0.51
Lycodichthys,dearborni,-73.25,179.25,3717:239:1,0.51
Lycodichthys,dearborni,-72.75,-91.75,5709:121:4,0.53
Lycodichthys,dearborni,-72.75,-92.25,5709:122:3,0.59
Lycodichthys,dearborni,-73.25,-126.25,5712:236:1,0.56
Lycodichthys,dearborni,-73.25,-127.25,5712:237:1,0.51
Lycodichthys,dearborni,-73.25,-127.75,5712:237:2,0.4
Lycodichthys,dearborni,-73.75,-128.25,5712:238:3,0.49
Lycodichthys,dearborni,-73.75,-128.75,5712:238:4,0.49
Lycodichthys,dearborni,-73.75,-130.25,5713:130:3,0.53
Lycodichthys,dearborni,-73.75,-130.75,5713:130:4,0.44
Lycodichthys,dearborni,-73.75,-131.25,5713:131:3,0.43
Lycodichthys,dearborni,-74.25,-132.25,5713:142:1,0.52
Lycodichthys,dearborni,-74.25,-132.75,5713:142:2,0.54
Lycodichthys,dearborni,-74.25,-133.25,5713:143:1,0.53
Lycodichthys,dearborni,-74.75,-133.25,5713:143:3,0.55
Lycodichthys,dearborni,-74.75,-133.75,5713:143:4,0.5
Lycodichthys,dearborni,-74.25,-134.25,5713:144:1,0.57
Lycodichthys,dearborni,-74.25,-134.75,5713:144:2,0.52
Lycodichthys,dearborni,-76.75,-151.75,5715:361:4,0.46
Lycodichthys,dearborni,-76.75,-152.25,5715:362:3,0.44
Lycodichthys,dearborni,-76.75,-153.25,5715:363:3,0.53
Lycodichthys,dearborni,-76.75,-154.25,5715:364:3,0.48
Lycodichthys,dearborni,-76.75,-154.75,5715:364:4,0.5
Lycodichthys,dearborni,-76.75,-155.25,5715:465:3,0.45
Lycodichthys,dearborni,-76.75,-155.75,5715:465:4,0.52
Lycodichthys,dearborni,-76.75,-156.25,5715:466:3,0.47
Lycodichthys,dearborni,-76.75,-156.75,5715:466:4,0.59
Lycodichthys,dearborni,-76.75,-157.25,5715:467:3,0.55
Lycodichthys,dearborni,-76.75,-158.25,5715:468:3,0.41
Lycodichthys,dearborni,-76.75,-158.75,5715:468:4,0.45
Lycodichthys,dearborni,-76.75,-159.25,5715:469:3,0.49
Lycodichthys,dearborni,-76.75,-159.75,5715:469:4,0.51
Lycodichthys,dearborni,-77.25,-155.75,5715:475:2,0.46
Lycodichthys,dearborni,-77.25,-156.25,5715:476:1,0.54
Lycodichthys,dearborni,-77.25,-158.25,5715:478:1,0.59
Lycodichthys,dearborni,-77.25,-158.75,5715:478:2,0.44
Lycodichthys,dearborni,-77.25,-159.25,5715:479:1,0.42
Lycodichthys,dearborni,-77.25,-159.75,5715:479:2,0.5
Lycodichthys,dearborni,-77.75,-159.75,5715:479:4,0.46
Lycodichthys,dearborni,-76.75,-160.25,5716:360:3,0.58
Lycodichthys,dearborni,-76.75,-160.75,5716:360:4,0.5
Lycodichthys,dearborni,-76.75,-161.25,5716:361:3,0.57
Lycodichthys,dearborni,-76.75,-161.75,5716:361:4,0.58
