Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anoplarchus,purpurescens,60.75,172.25,1617:102:3,0.04
Anoplarchus,purpurescens,60.75,171.75,1617:101:4,0.03
Anoplarchus,purpurescens,60.75,171.25,1617:101:3,0.04
Anoplarchus,purpurescens,60.25,170.75,1617:100:2,0.12
Anoplarchus,purpurescens,60.25,170.25,1617:100:1,0.18
Anoplarchus,purpurescens,60.75,169.25,1616:209:3,0.09
Anoplarchus,purpurescens,60.75,168.75,1616:208:4,0.08
Anoplarchus,purpurescens,60.75,168.25,1616:208:3,0.05
Anoplarchus,purpurescens,60.75,167.75,1616:207:4,0.02
Anoplarchus,purpurescens,60.25,167.75,1616:207:2,0.19
Anoplarchus,purpurescens,60.25,167.25,1616:207:1,0.15
Anoplarchus,purpurescens,60.25,166.75,1616:206:2,0.13
Anoplarchus,purpurescens,60.25,166.25,1616:206:1,0.11
Anoplarchus,purpurescens,60.25,165.75,1616:205:2,0.11
Anoplarchus,purpurescens,60.25,165.25,1616:205:1,0.02
Anoplarchus,purpurescens,52.25,178.75,1517:228:2,0.18
Anoplarchus,purpurescens,52.25,178.25,1517:228:1,0.18
Anoplarchus,purpurescens,52.25,176.75,1517:226:2,0.13
Anoplarchus,purpurescens,52.25,176.25,1517:226:1,0.1
Anoplarchus,purpurescens,52.25,175.75,1517:225:2,0.13
Anoplarchus,purpurescens,51.25,179.75,1517:219:2,0.09
Anoplarchus,purpurescens,51.75,175.75,1517:215:4,0.11
Anoplarchus,purpurescens,53.25,173.25,1517:133:1,0.19
Anoplarchus,purpurescens,59.75,166.25,1516:496:3,0.16
Anoplarchus,purpurescens,59.75,165.75,1516:495:4,0.11
Anoplarchus,purpurescens,55.75,165.25,1516:455:3,0.17
Anoplarchus,purpurescens,57.25,162.75,1516:372:2,0.17
Anoplarchus,purpurescens,56.25,162.25,1516:362:1,0.11
Anoplarchus,purpurescens,57.25,157.25,1515:477:1,0.02
Anoplarchus,purpurescens,57.25,156.75,1515:476:2,0.11
Anoplarchus,purpurescens,57.25,156.25,1515:476:1,0.11
Anoplarchus,purpurescens,55.75,155.25,1515:455:3,0.1
Anoplarchus,purpurescens,59.25,151.75,1515:391:2,0.04
Anoplarchus,purpurescens,53.25,153.75,1515:133:2,0.02
Anoplarchus,purpurescens,48.25,153.75,1415:383:2,0.03
Anoplarchus,purpurescens,49.25,143.75,1414:393:2,0.06
Anoplarchus,purpurescens,49.25,142.75,1414:392:2,0.1
Anoplarchus,purpurescens,49.75,140.25,1414:390:3,0.02
Anoplarchus,purpurescens,49.25,140.75,1414:390:2,0.06
Anoplarchus,purpurescens,49.25,140.25,1414:390:1,0.14
Anoplarchus,purpurescens,48.75,142.25,1414:382:3,0.17
Anoplarchus,purpurescens,48.75,141.75,1414:381:4,0.1
Anoplarchus,purpurescens,48.25,140.25,1414:380:1,0.11
Anoplarchus,purpurescens,47.75,142.75,1414:372:4,0.04
Anoplarchus,purpurescens,47.25,142.75,1414:372:2,0.17
Anoplarchus,purpurescens,47.25,141.75,1414:371:2,0.16
Anoplarchus,purpurescens,46.25,143.75,1414:363:2,0.05
Anoplarchus,purpurescens,43.75,141.25,1414:131:3,0.13
Anoplarchus,purpurescens,42.25,141.75,1414:121:2,0.14
Anoplarchus,purpurescens,41.25,140.25,1414:110:1,0.06
Anoplarchus,purpurescens,47.75,139.75,1413:479:4,0.11
Anoplarchus,purpurescens,46.75,138.75,1413:468:4,0.12
Anoplarchus,purpurescens,46.25,138.25,1413:468:1,0.12
Anoplarchus,purpurescens,45.25,137.25,1413:457:1,0.16
Anoplarchus,purpurescens,45.25,136.75,1413:456:2,0.19
Anoplarchus,purpurescens,44.75,136.75,1413:246:4,0.17
Anoplarchus,purpurescens,43.75,135.75,1413:235:4,0.19
Anoplarchus,purpurescens,43.25,135.25,1413:235:1,0.07
Anoplarchus,purpurescens,42.25,139.75,1413:229:2,0.09
Anoplarchus,purpurescens,40.75,139.75,1413:209:4,0.05
Anoplarchus,purpurescens,43.25,134.75,1413:134:2,0.09
Anoplarchus,purpurescens,43.25,134.25,1413:134:1,0.19
Anoplarchus,purpurescens,42.75,133.25,1413:123:3,0.14
Anoplarchus,purpurescens,42.75,132.75,1413:122:4,0.03
Anoplarchus,purpurescens,42.75,131.25,1413:121:3,0.01
Anoplarchus,purpurescens,42.75,130.75,1413:120:4,0.1
Anoplarchus,purpurescens,40.75,121.25,1412:101:3,0.03
Anoplarchus,purpurescens,37.25,141.25,1314:371:1,0.17
Anoplarchus,purpurescens,37.25,140.75,1314:370:2,0.05
Anoplarchus,purpurescens,36.75,140.75,1314:360:4,0.04
Anoplarchus,purpurescens,39.75,139.75,1313:499:4,0.13
Anoplarchus,purpurescens,39.25,139.75,1313:499:2,0.16
Anoplarchus,purpurescens,38.75,139.75,1313:489:4,0.19
Anoplarchus,purpurescens,38.75,139.25,1313:489:3,0.05
Anoplarchus,purpurescens,38.25,139.25,1313:489:1,0.11
Anoplarchus,purpurescens,38.25,138.75,1313:488:2,0.05
Anoplarchus,purpurescens,38.25,138.25,1313:488:1,0.01
Anoplarchus,purpurescens,37.75,139.25,1313:479:3,0.08
Anoplarchus,purpurescens,37.75,138.75,1313:478:4,0.07
Anoplarchus,purpurescens,37.75,138.25,1313:478:3,0.06
Anoplarchus,purpurescens,37.25,138.75,1313:478:2,0.02
