Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melanostigma,pammelas,47.75,-128.75,7412:478:4,0.46
Melanostigma,pammelas,47.25,-128.75,7412:478:2,0.55
Melanostigma,pammelas,47.25,-128.25,7412:478:1,0.58
Melanostigma,pammelas,46.75,-129.75,7412:469:4,0.43
Melanostigma,pammelas,46.75,-129.25,7412:469:3,0.52
Melanostigma,pammelas,46.25,-129.25,7412:469:1,0.47
Melanostigma,pammelas,46.75,-128.75,7412:468:4,0.49
Melanostigma,pammelas,46.75,-128.25,7412:468:3,0.47
Melanostigma,pammelas,46.25,-128.75,7412:468:2,0.5
Melanostigma,pammelas,46.25,-128.25,7412:468:1,0.45
Melanostigma,pammelas,46.75,-127.75,7412:467:4,0.4
Melanostigma,pammelas,46.75,-127.25,7412:467:3,0.44
Melanostigma,pammelas,46.25,-127.75,7412:467:2,0.44
Melanostigma,pammelas,46.25,-127.25,7412:467:1,0.49
Melanostigma,pammelas,45.75,-129.75,7412:459:4,0.45
Melanostigma,pammelas,45.75,-129.25,7412:459:3,0.51
Melanostigma,pammelas,45.25,-129.25,7412:459:1,0.53
Melanostigma,pammelas,45.75,-128.75,7412:458:4,0.49
Melanostigma,pammelas,45.75,-128.25,7412:458:3,0.5
Melanostigma,pammelas,45.25,-128.75,7412:458:2,0.44
Melanostigma,pammelas,45.25,-128.25,7412:458:1,0.46
Melanostigma,pammelas,45.25,-127.75,7412:457:2,0.42
Melanostigma,pammelas,45.75,-126.75,7412:456:4,0.57
Melanostigma,pammelas,45.25,-126.75,7412:456:2,0.45
Melanostigma,pammelas,44.75,-129.25,7412:249:3,0.56
Melanostigma,pammelas,44.25,-129.25,7412:249:1,0.52
Melanostigma,pammelas,44.75,-128.75,7412:248:4,0.57
Melanostigma,pammelas,44.75,-128.25,7412:248:3,0.44
Melanostigma,pammelas,44.25,-128.25,7412:248:1,0.59
Melanostigma,pammelas,44.25,-127.25,7412:247:1,0.52
Melanostigma,pammelas,44.75,-126.75,7412:246:4,0.42
Melanostigma,pammelas,43.75,-128.25,7412:238:3,0.47
Melanostigma,pammelas,43.25,-128.25,7412:238:1,0.44
Melanostigma,pammelas,43.75,-127.75,7412:237:4,0.56
Melanostigma,pammelas,43.25,-127.75,7412:237:2,0.46
Melanostigma,pammelas,42.75,-127.75,7412:227:4,0.59
Melanostigma,pammelas,40.75,-128.25,7412:208:3,0.52
Melanostigma,pammelas,40.25,-126.75,7412:206:2,0.43
Melanostigma,pammelas,40.25,-126.25,7412:206:1,0.46
Melanostigma,pammelas,39.75,-128.25,7312:498:3,0.42
Melanostigma,pammelas,39.25,-128.25,7312:498:1,0.41
Melanostigma,pammelas,39.75,-127.75,7312:497:4,0.43
Melanostigma,pammelas,39.75,-127.25,7312:497:3,0.43
Melanostigma,pammelas,39.25,-127.75,7312:497:2,0.42
Melanostigma,pammelas,39.25,-127.25,7312:497:1,0.42
Melanostigma,pammelas,39.75,-126.75,7312:496:4,0.43
Melanostigma,pammelas,39.75,-126.25,7312:496:3,0.46
Melanostigma,pammelas,39.25,-126.75,7312:496:2,0.41
Melanostigma,pammelas,39.25,-126.25,7312:496:1,0.5
Melanostigma,pammelas,39.25,-125.75,7312:495:2,0.57
Melanostigma,pammelas,38.75,-126.25,7312:486:3,0.44
Melanostigma,pammelas,38.75,-125.75,7312:485:4,0.45
Melanostigma,pammelas,38.25,-125.75,7312:485:2,0.44
Melanostigma,pammelas,38.25,-125.25,7312:485:1,0.5
Melanostigma,pammelas,37.75,-125.25,7312:475:3,0.44
Melanostigma,pammelas,37.25,-125.25,7312:475:1,0.4
Melanostigma,pammelas,36.75,-125.25,7312:465:3,0.52
Melanostigma,pammelas,38.75,-124.75,7312:384:4,0.58
Melanostigma,pammelas,38.25,-124.75,7312:384:2,0.51
Melanostigma,pammelas,38.25,-124.25,7312:384:1,0.58
Melanostigma,pammelas,37.75,-124.75,7312:374:4,0.5
Melanostigma,pammelas,37.75,-124.25,7312:374:3,0.58
Melanostigma,pammelas,37.25,-124.75,7312:374:2,0.45
Melanostigma,pammelas,37.25,-124.25,7312:374:1,0.51
Melanostigma,pammelas,36.75,-124.75,7312:364:4,0.44
Melanostigma,pammelas,36.75,-124.25,7312:364:3,0.51
Melanostigma,pammelas,36.25,-124.25,7312:364:1,0.44
Melanostigma,pammelas,36.75,-123.75,7312:363:4,0.57
Melanostigma,pammelas,36.25,-123.75,7312:363:2,0.59
Melanostigma,pammelas,36.75,-122.25,7312:362:3,0.45
Melanostigma,pammelas,35.75,-124.25,7312:354:3,0.43
Melanostigma,pammelas,35.75,-123.75,7312:353:4,0.56
Melanostigma,pammelas,35.75,-123.25,7312:353:3,0.57
Melanostigma,pammelas,35.25,-123.75,7312:353:2,0.43
Melanostigma,pammelas,35.25,-123.25,7312:353:1,0.49
Melanostigma,pammelas,35.25,-122.75,7312:352:2,0.5
Melanostigma,pammelas,35.25,-122.25,7312:352:1,0.5
Melanostigma,pammelas,34.75,-123.25,7312:143:3,0.42
Melanostigma,pammelas,34.75,-122.75,7312:142:4,0.43
Melanostigma,pammelas,34.75,-122.25,7312:142:3,0.43
Melanostigma,pammelas,34.25,-122.75,7312:142:2,0.43
Melanostigma,pammelas,34.25,-122.25,7312:142:1,0.5
Melanostigma,pammelas,34.25,-121.75,7312:141:2,0.59
Melanostigma,pammelas,34.75,-120.75,7312:140:4,0.42
Melanostigma,pammelas,33.75,-122.75,7312:132:4,0.42
Melanostigma,pammelas,33.75,-122.25,7312:132:3,0.49
Melanostigma,pammelas,33.25,-122.25,7312:132:1,0.41
Melanostigma,pammelas,33.75,-121.75,7312:131:4,0.59
Melanostigma,pammelas,33.25,-121.75,7312:131:2,0.43
Melanostigma,pammelas,33.25,-117.75,7311:237:2,0.55
Melanostigma,pammelas,32.25,-119.75,7311:229:2,0.51
Melanostigma,pammelas,31.75,-119.25,7311:219:3,0.46
Melanostigma,pammelas,30.75,-118.25,7311:208:3,0.51
Melanostigma,pammelas,29.25,-116.75,7211:496:2,0.53
Melanostigma,pammelas,29.25,-115.25,7211:495:1,0.58
Melanostigma,pammelas,28.75,-118.75,7211:488:4,0.56
Melanostigma,pammelas,28.25,-118.25,7211:488:1,0.46
Melanostigma,pammelas,28.25,-117.75,7211:487:2,0.41
Melanostigma,pammelas,27.75,-115.75,7211:475:4,0.41
Melanostigma,pammelas,27.25,-115.25,7211:475:1,0.53
Melanostigma,pammelas,26.75,-115.75,7211:465:4,0.46
Melanostigma,pammelas,27.25,-114.25,7211:374:1,0.54
Melanostigma,pammelas,26.25,-113.75,7211:363:2,0.48
Melanostigma,pammelas,26.25,-113.25,7211:363:1,0.4
Melanostigma,pammelas,52.75,-132.25,7513:122:3,0.61
Melanostigma,pammelas,51.25,-133.25,7513:113:1,0.79
Melanostigma,pammelas,50.75,-132.75,7513:102:4,0.68
Melanostigma,pammelas,50.25,-132.25,7513:102:1,0.72
Melanostigma,pammelas,50.25,-127.75,7512:207:2,0.69
Melanostigma,pammelas,49.25,-132.25,7413:392:1,0.68
Melanostigma,pammelas,49.75,-131.75,7413:391:4,0.65
Melanostigma,pammelas,49.25,-131.75,7413:391:2,0.69
Melanostigma,pammelas,48.75,-132.25,7413:382:3,0.62
Melanostigma,pammelas,48.25,-131.75,7413:381:2,0.6
Melanostigma,pammelas,48.25,-131.25,7413:381:1,0.62
Melanostigma,pammelas,48.75,-130.75,7413:380:4,0.76
Melanostigma,pammelas,48.25,-130.75,7413:380:2,0.73
Melanostigma,pammelas,47.75,-130.75,7413:370:4,0.63
Melanostigma,pammelas,47.75,-130.25,7413:370:3,0.77
Melanostigma,pammelas,48.25,-129.75,7412:489:2,0.76
Melanostigma,pammelas,48.25,-129.25,7412:489:1,0.64
Melanostigma,pammelas,47.75,-129.75,7412:479:4,0.68
Melanostigma,pammelas,47.25,-129.75,7412:479:2,0.63
Melanostigma,pammelas,47.25,-129.25,7412:479:1,0.61
Melanostigma,pammelas,47.75,-128.25,7412:478:3,0.71
Melanostigma,pammelas,47.25,-127.75,7412:477:2,0.62
Melanostigma,pammelas,47.25,-127.25,7412:477:1,0.74
Melanostigma,pammelas,46.75,-126.75,7412:466:4,0.73
Melanostigma,pammelas,46.25,-126.75,7412:466:2,0.65
Melanostigma,pammelas,44.25,-128.75,7412:248:2,0.69
Melanostigma,pammelas,44.25,-126.75,7412:246:2,0.79
Melanostigma,pammelas,43.75,-127.25,7412:237:3,0.73
Melanostigma,pammelas,43.25,-127.25,7412:237:1,0.69
Melanostigma,pammelas,42.25,-127.75,7412:227:2,0.69
Melanostigma,pammelas,41.75,-127.25,7412:217:3,0.74
Melanostigma,pammelas,40.25,-124.75,7412:104:2,0.75
Melanostigma,pammelas,39.75,-125.75,7312:495:4,0.64
Melanostigma,pammelas,38.75,-125.25,7312:485:3,0.64
Melanostigma,pammelas,37.25,-123.75,7312:373:2,0.67
Melanostigma,pammelas,36.75,-123.25,7312:363:3,0.79
Melanostigma,pammelas,36.25,-123.25,7312:363:1,0.79
Melanostigma,pammelas,36.25,-122.75,7312:362:2,0.79
Melanostigma,pammelas,36.25,-121.75,7312:361:2,0.68
Melanostigma,pammelas,35.75,-121.25,7312:351:3,0.78
Melanostigma,pammelas,33.25,-121.25,7312:131:1,0.67
Melanostigma,pammelas,33.25,-120.75,7312:130:2,0.79
Melanostigma,pammelas,32.75,-117.75,7311:227:4,0.68
Melanostigma,pammelas,29.75,-117.75,7211:497:4,0.77
Melanostigma,pammelas,29.25,-117.75,7211:497:2,0.6
Melanostigma,pammelas,29.25,-117.25,7211:497:1,0.68
Melanostigma,pammelas,28.75,-117.75,7211:487:4,0.65
Melanostigma,pammelas,28.75,-117.25,7211:487:3,0.67
Melanostigma,pammelas,28.25,-117.25,7211:487:1,0.64
Melanostigma,pammelas,28.75,-116.75,7211:486:4,0.76
Melanostigma,pammelas,28.25,-116.75,7211:486:2,0.79
Melanostigma,pammelas,27.75,-117.25,7211:477:3,0.61
Melanostigma,pammelas,27.75,-116.75,7211:476:4,0.69
Melanostigma,pammelas,27.75,-116.25,7211:476:3,0.71
Melanostigma,pammelas,27.25,-116.75,7211:476:2,0.61
Melanostigma,pammelas,27.25,-116.25,7211:476:1,0.7
Melanostigma,pammelas,27.75,-115.25,7211:475:3,0.72
Melanostigma,pammelas,27.25,-115.75,7211:475:2,0.73
Melanostigma,pammelas,28.75,-113.25,7211:383:3,0.72
Melanostigma,pammelas,27.75,-114.75,7211:374:4,0.61
Melanostigma,pammelas,27.25,-114.75,7211:374:2,0.71
Melanostigma,pammelas,26.75,-114.75,7211:364:4,0.64
Melanostigma,pammelas,25.75,-113.75,7211:353:4,0.61
Melanostigma,pammelas,54.75,-133.75,7513:143:4,0.94
Melanostigma,pammelas,54.25,-133.75,7513:143:2,1
Melanostigma,pammelas,53.75,-133.75,7513:133:4,1
