Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cryptacanthodes,maculatus,47.25,-54.25,7405:374:1,1
Cryptacanthodes,maculatus,47.25,-54.75,7405:374:2,1
Cryptacanthodes,maculatus,47.75,-54.25,7405:374:3,1
Cryptacanthodes,maculatus,47.75,-54.75,7405:374:4,1
Cryptacanthodes,maculatus,48.25,-52.75,7405:382:2,1
Cryptacanthodes,maculatus,48.75,-52.75,7405:382:4,1
Cryptacanthodes,maculatus,48.25,-53.25,7405:383:1,1
Cryptacanthodes,maculatus,48.25,-53.75,7405:383:2,1
Cryptacanthodes,maculatus,48.75,-53.25,7405:383:3,1
Cryptacanthodes,maculatus,48.75,-53.75,7405:383:4,1
Cryptacanthodes,maculatus,49.25,-53.25,7405:393:1,1
Cryptacanthodes,maculatus,49.25,-53.75,7405:393:2,1
Cryptacanthodes,maculatus,49.75,-53.25,7405:393:3,1
Cryptacanthodes,maculatus,49.75,-53.75,7405:393:4,1
Cryptacanthodes,maculatus,49.25,-54.25,7405:394:1,0.91
Cryptacanthodes,maculatus,49.25,-54.75,7405:394:2,1
Cryptacanthodes,maculatus,49.75,-54.25,7405:394:3,1
Cryptacanthodes,maculatus,49.75,-54.75,7405:394:4,1
Cryptacanthodes,maculatus,45.25,-55.25,7405:455:1,0.85
Cryptacanthodes,maculatus,45.25,-55.75,7405:455:2,1
Cryptacanthodes,maculatus,45.75,-55.25,7405:455:3,0.98
Cryptacanthodes,maculatus,45.75,-55.75,7405:455:4,1
Cryptacanthodes,maculatus,45.25,-56.25,7405:456:1,1
Cryptacanthodes,maculatus,45.75,-56.25,7405:456:3,1
Cryptacanthodes,maculatus,45.75,-56.75,7405:456:4,1
Cryptacanthodes,maculatus,45.25,-57.25,7405:457:1,0.93
Cryptacanthodes,maculatus,45.25,-57.75,7405:457:2,1
Cryptacanthodes,maculatus,45.25,-58.25,7405:458:1,0.93
Cryptacanthodes,maculatus,45.75,-58.25,7405:458:3,0.87
Cryptacanthodes,maculatus,45.75,-58.75,7405:458:4,0.87
Cryptacanthodes,maculatus,45.75,-59.25,7405:459:3,1
Cryptacanthodes,maculatus,45.75,-59.75,7405:459:4,1
Cryptacanthodes,maculatus,46.25,-55.25,7405:465:1,0.82
Cryptacanthodes,maculatus,46.25,-55.75,7405:465:2,1
Cryptacanthodes,maculatus,46.75,-55.25,7405:465:3,1
Cryptacanthodes,maculatus,46.75,-55.75,7405:465:4,1
Cryptacanthodes,maculatus,46.25,-56.25,7405:466:1,1
Cryptacanthodes,maculatus,46.25,-56.75,7405:466:2,1
Cryptacanthodes,maculatus,46.75,-56.25,7405:466:3,1
Cryptacanthodes,maculatus,46.75,-56.75,7405:466:4,1
Cryptacanthodes,maculatus,46.25,-57.25,7405:467:1,1
Cryptacanthodes,maculatus,46.75,-57.25,7405:467:3,1
Cryptacanthodes,maculatus,46.25,-59.25,7405:469:1,1
Cryptacanthodes,maculatus,46.25,-59.75,7405:469:2,1
Cryptacanthodes,maculatus,46.75,-59.75,7405:469:4,0.98
Cryptacanthodes,maculatus,47.25,-55.25,7405:475:1,1
Cryptacanthodes,maculatus,47.25,-55.75,7405:475:2,1
Cryptacanthodes,maculatus,47.75,-55.25,7405:475:3,1
Cryptacanthodes,maculatus,47.75,-55.75,7405:475:4,1
Cryptacanthodes,maculatus,47.25,-56.25,7405:476:1,1
Cryptacanthodes,maculatus,47.75,-56.25,7405:476:3,1
Cryptacanthodes,maculatus,47.75,-56.75,7405:476:4,1
Cryptacanthodes,maculatus,47.25,-57.25,7405:477:1,0.96
Cryptacanthodes,maculatus,47.75,-57.25,7405:477:3,1
Cryptacanthodes,maculatus,47.75,-57.75,7405:477:4,1
Cryptacanthodes,maculatus,47.75,-58.25,7405:478:3,1
Cryptacanthodes,maculatus,47.75,-58.75,7405:478:4,1
Cryptacanthodes,maculatus,47.75,-59.25,7405:479:3,1
Cryptacanthodes,maculatus,48.25,-58.25,7405:488:1,1
Cryptacanthodes,maculatus,48.25,-58.75,7405:488:2,1
Cryptacanthodes,maculatus,48.75,-58.25,7405:488:3,1
