Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gasterosteus,aculeatus,70.75,-51.75,7705:101:4,0.14
Gasterosteus,aculeatus,70.75,-51.25,7705:101:3,0.12
Gasterosteus,aculeatus,70.25,-51.75,7705:101:2,0.18
Gasterosteus,aculeatus,70.25,-51.25,7705:101:1,0.14
Gasterosteus,aculeatus,70.75,-50.75,7705:100:4,0.1
Gasterosteus,aculeatus,70.25,-50.75,7705:100:2,0.11
Gasterosteus,aculeatus,70.25,-50.25,7705:100:1,0.1
Gasterosteus,aculeatus,70.25,-23.25,7702:103:1,0.01
Gasterosteus,aculeatus,70.25,-22.75,7702:102:2,0.01
Gasterosteus,aculeatus,70.25,-22.25,7702:102:1,0.01
Gasterosteus,aculeatus,70.25,-21.75,7702:101:2,0.01
Gasterosteus,aculeatus,70.75,-7.75,7700:207:4,0.06
Gasterosteus,aculeatus,69.25,-177.75,7617:497:2,0.01
Gasterosteus,aculeatus,69.25,-177.25,7617:497:1,0.01
Gasterosteus,aculeatus,69.75,-176.75,7617:496:4,0.01
Gasterosteus,aculeatus,69.75,-176.25,7617:496:3,0.01
Gasterosteus,aculeatus,69.25,-176.75,7617:496:2,0.01
Gasterosteus,aculeatus,69.25,-176.25,7617:496:1,0.01
Gasterosteus,aculeatus,69.75,-175.75,7617:495:4,0.01
Gasterosteus,aculeatus,69.75,-175.25,7617:495:3,0.02
Gasterosteus,aculeatus,69.25,-175.75,7617:495:2,0.02
Gasterosteus,aculeatus,69.25,-175.25,7617:495:1,0.02
Gasterosteus,aculeatus,68.75,-179.75,7617:489:4,0.01
Gasterosteus,aculeatus,68.75,-178.75,7617:488:4,0.01
Gasterosteus,aculeatus,68.75,-178.25,7617:488:3,0.01
Gasterosteus,aculeatus,68.75,-177.75,7617:487:4,0.01
Gasterosteus,aculeatus,68.75,-177.25,7617:487:3,0.01
Gasterosteus,aculeatus,68.25,-177.75,7617:487:2,0.02
Gasterosteus,aculeatus,68.25,-177.25,7617:487:1,0.02
Gasterosteus,aculeatus,68.75,-176.75,7617:486:4,0.01
Gasterosteus,aculeatus,68.75,-176.25,7617:486:3,0.01
Gasterosteus,aculeatus,68.25,-176.75,7617:486:2,0.01
Gasterosteus,aculeatus,68.25,-176.25,7617:486:1,0.01
Gasterosteus,aculeatus,68.75,-175.75,7617:485:4,0.02
Gasterosteus,aculeatus,68.75,-175.25,7617:485:3,0.02
Gasterosteus,aculeatus,68.25,-175.75,7617:485:2,0.01
Gasterosteus,aculeatus,68.25,-175.25,7617:485:1,0.02
Gasterosteus,aculeatus,67.75,-176.25,7617:476:3,0.03
Gasterosteus,aculeatus,67.75,-175.75,7617:475:4,0.02
Gasterosteus,aculeatus,67.75,-175.25,7617:475:3,0.02
Gasterosteus,aculeatus,66.25,-179.75,7617:469:2,0.11
Gasterosteus,aculeatus,66.25,-178.25,7617:468:1,0.11
Gasterosteus,aculeatus,65.75,-179.75,7617:459:4,0.14
Gasterosteus,aculeatus,65.75,-179.25,7617:459:3,0.16
Gasterosteus,aculeatus,65.25,-179.75,7617:459:2,0.16
Gasterosteus,aculeatus,65.75,-177.25,7617:457:3,0.12
Gasterosteus,aculeatus,69.75,-174.75,7617:394:4,0.02
Gasterosteus,aculeatus,69.75,-174.25,7617:394:3,0.03
Gasterosteus,aculeatus,69.25,-174.75,7617:394:2,0.03
Gasterosteus,aculeatus,69.25,-174.25,7617:394:1,0.03
Gasterosteus,aculeatus,69.75,-173.75,7617:393:4,0.03
Gasterosteus,aculeatus,69.75,-173.25,7617:393:3,0.03
Gasterosteus,aculeatus,69.25,-173.75,7617:393:2,0.03
Gasterosteus,aculeatus,69.25,-173.25,7617:393:1,0.04
Gasterosteus,aculeatus,69.75,-172.75,7617:392:4,0.03
Gasterosteus,aculeatus,69.75,-172.25,7617:392:3,0.03
Gasterosteus,aculeatus,69.25,-172.75,7617:392:2,0.04
Gasterosteus,aculeatus,69.25,-172.25,7617:392:1,0.04
Gasterosteus,aculeatus,69.75,-171.75,7617:391:4,0.03
Gasterosteus,aculeatus,69.75,-171.25,7617:391:3,0.03
Gasterosteus,aculeatus,69.25,-171.75,7617:391:2,0.04
Gasterosteus,aculeatus,69.25,-171.25,7617:391:1,0.05
Gasterosteus,aculeatus,69.75,-170.75,7617:390:4,0.03
Gasterosteus,aculeatus,69.75,-170.25,7617:390:3,0.04
Gasterosteus,aculeatus,69.25,-170.75,7617:390:2,0.05
Gasterosteus,aculeatus,69.25,-170.25,7617:390:1,0.05
Gasterosteus,aculeatus,68.75,-174.75,7617:384:4,0.03
Gasterosteus,aculeatus,68.75,-174.25,7617:384:3,0.03
Gasterosteus,aculeatus,68.25,-174.75,7617:384:2,0.02
Gasterosteus,aculeatus,68.25,-174.25,7617:384:1,0.03
Gasterosteus,aculeatus,68.75,-173.75,7617:383:4,0.04
Gasterosteus,aculeatus,68.75,-173.25,7617:383:3,0.04
Gasterosteus,aculeatus,68.25,-173.75,7617:383:2,0.04
Gasterosteus,aculeatus,68.25,-173.25,7617:383:1,0.05
Gasterosteus,aculeatus,68.75,-172.75,7617:382:4,0.05
Gasterosteus,aculeatus,68.75,-172.25,7617:382:3,0.05
Gasterosteus,aculeatus,68.25,-172.75,7617:382:2,0.05
Gasterosteus,aculeatus,68.25,-172.25,7617:382:1,0.06
Gasterosteus,aculeatus,68.75,-171.75,7617:381:4,0.05
Gasterosteus,aculeatus,68.75,-171.25,7617:381:3,0.05
Gasterosteus,aculeatus,68.25,-171.75,7617:381:2,0.06
Gasterosteus,aculeatus,68.25,-171.25,7617:381:1,0.06
Gasterosteus,aculeatus,68.75,-170.75,7617:380:4,0.06
Gasterosteus,aculeatus,68.75,-170.25,7617:380:3,0.06
Gasterosteus,aculeatus,68.25,-170.75,7617:380:2,0.06
Gasterosteus,aculeatus,68.25,-170.25,7617:380:1,0.07
Gasterosteus,aculeatus,67.75,-174.75,7617:374:4,0.02
Gasterosteus,aculeatus,67.75,-174.25,7617:374:3,0.03
Gasterosteus,aculeatus,67.25,-174.75,7617:374:2,0.04
Gasterosteus,aculeatus,67.25,-174.25,7617:374:1,0.03
Gasterosteus,aculeatus,67.75,-173.75,7617:373:4,0.03
Gasterosteus,aculeatus,67.75,-173.25,7617:373:3,0.04
Gasterosteus,aculeatus,67.25,-173.75,7617:373:2,0.03
Gasterosteus,aculeatus,67.25,-173.25,7617:373:1,0.04
Gasterosteus,aculeatus,67.75,-172.75,7617:372:4,0.05
Gasterosteus,aculeatus,67.75,-172.25,7617:372:3,0.06
Gasterosteus,aculeatus,67.25,-172.75,7617:372:2,0.05
Gasterosteus,aculeatus,67.25,-172.25,7617:372:1,0.06
Gasterosteus,aculeatus,67.75,-171.75,7617:371:4,0.06
Gasterosteus,aculeatus,67.75,-171.25,7617:371:3,0.07
Gasterosteus,aculeatus,67.25,-171.75,7617:371:2,0.06
Gasterosteus,aculeatus,67.25,-171.25,7617:371:1,0.07
Gasterosteus,aculeatus,67.75,-170.75,7617:370:4,0.07
Gasterosteus,aculeatus,67.75,-170.25,7617:370:3,0.07
Gasterosteus,aculeatus,67.25,-170.75,7617:370:2,0.08
Gasterosteus,aculeatus,67.25,-170.25,7617:370:1,0.08
Gasterosteus,aculeatus,66.75,-174.75,7617:364:4,0.03
Gasterosteus,aculeatus,66.75,-174.25,7617:364:3,0.04
Gasterosteus,aculeatus,66.25,-174.25,7617:364:1,0.02
Gasterosteus,aculeatus,66.75,-173.75,7617:363:4,0.02
Gasterosteus,aculeatus,66.25,-173.75,7617:363:2,0.02
Gasterosteus,aculeatus,66.75,-171.75,7617:361:4,0.09
Gasterosteus,aculeatus,66.75,-171.25,7617:361:3,0.07
Gasterosteus,aculeatus,66.75,-170.75,7617:360:4,0.08
Gasterosteus,aculeatus,66.75,-170.25,7617:360:3,0.09
Gasterosteus,aculeatus,66.25,-170.75,7617:360:2,0.12
Gasterosteus,aculeatus,66.25,-170.25,7617:360:1,0.09
Gasterosteus,aculeatus,65.75,-172.75,7617:352:4,0.13
Gasterosteus,aculeatus,65.75,-172.25,7617:352:3,0.15
Gasterosteus,aculeatus,65.25,-172.25,7617:352:1,0.18
Gasterosteus,aculeatus,65.75,-171.75,7617:351:4,0.16
Gasterosteus,aculeatus,65.25,-171.75,7617:351:2,0.19
Gasterosteus,aculeatus,65.25,-171.25,7617:351:1,0.19
Gasterosteus,aculeatus,65.75,-170.75,7617:350:4,0.16
Gasterosteus,aculeatus,65.75,-170.25,7617:350:3,0.16
Gasterosteus,aculeatus,65.25,-170.75,7617:350:2,0.16
Gasterosteus,aculeatus,65.25,-170.25,7617:350:1,0.15
Gasterosteus,aculeatus,64.75,-179.75,7617:249:4,0.19
Gasterosteus,aculeatus,64.25,-178.25,7617:248:1,0.18
Gasterosteus,aculeatus,64.25,-177.75,7617:247:2,0.16
Gasterosteus,aculeatus,64.25,-177.25,7617:247:1,0.17
Gasterosteus,aculeatus,64.25,-176.75,7617:246:2,0.19
Gasterosteus,aculeatus,63.75,-178.75,7617:238:4,0.17
Gasterosteus,aculeatus,63.75,-178.25,7617:238:3,0.14
Gasterosteus,aculeatus,63.25,-178.75,7617:238:2,0.13
Gasterosteus,aculeatus,63.25,-178.25,7617:238:1,0.11
Gasterosteus,aculeatus,63.75,-177.75,7617:237:4,0.11
Gasterosteus,aculeatus,63.75,-177.25,7617:237:3,0.11
Gasterosteus,aculeatus,63.25,-177.75,7617:237:2,0.04
Gasterosteus,aculeatus,63.25,-177.25,7617:237:1,0.04
Gasterosteus,aculeatus,63.75,-176.75,7617:236:4,0.05
Gasterosteus,aculeatus,63.75,-176.25,7617:236:3,0.07
Gasterosteus,aculeatus,63.25,-176.75,7617:236:2,0.05
Gasterosteus,aculeatus,63.25,-176.25,7617:236:1,0.08
Gasterosteus,aculeatus,63.75,-175.75,7617:235:4,0.09
Gasterosteus,aculeatus,63.75,-175.25,7617:235:3,0.1
Gasterosteus,aculeatus,63.25,-175.75,7617:235:2,0.11
Gasterosteus,aculeatus,63.25,-175.25,7617:235:1,0.1
Gasterosteus,aculeatus,62.75,-179.25,7617:229:3,0.1
Gasterosteus,aculeatus,62.75,-178.75,7617:228:4,0.11
Gasterosteus,aculeatus,62.75,-178.25,7617:228:3,0.1
Gasterosteus,aculeatus,62.25,-178.75,7617:228:2,0.02
Gasterosteus,aculeatus,62.75,-177.75,7617:227:4,0.07
Gasterosteus,aculeatus,62.75,-177.25,7617:227:3,0.02
Gasterosteus,aculeatus,62.25,-177.75,7617:227:2,0.03
Gasterosteus,aculeatus,62.75,-176.75,7617:226:4,0.03
Gasterosteus,aculeatus,62.75,-176.25,7617:226:3,0.07
Gasterosteus,aculeatus,62.25,-176.75,7617:226:2,0.03
Gasterosteus,aculeatus,62.25,-176.25,7617:226:1,0.06
Gasterosteus,aculeatus,62.75,-175.75,7617:225:4,0.09
Gasterosteus,aculeatus,62.75,-175.25,7617:225:3,0.13
Gasterosteus,aculeatus,62.25,-175.75,7617:225:2,0.08
